#"key", "value"
"locator_version",""
"start_time","2017-04-26T11:31:27.169166Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:HUAWEI-hwALE-H-ALE-L21"
"app_version","4.4.0"
"os_version","android-23"
"stop_time","2017-04-26T11:35:47.232025Z"
"random_id","5681971051515243703"
"comment","t12"
"username","boxian"
"locator_param_LocationWriterPath","/data/user/0/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
