#"key", "value"
"locator_version",""
"start_time","2017-04-26T11:19:36.143609Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:LGE-hammerhead-Nexus 5"
"app_version","4.4.0"
"os_version","android-21"
"stop_time","2017-04-26T11:24:45.74254Z"
"random_id","8503656297100146631"
"comment","t86"
"username","r"
"locator_param_LocationWriterPath","/data/data/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
