#"key", "value"
"locator_version",""
"start_time","2017-04-26T10:21:35.708369Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:LGE-hammerhead-Nexus 5"
"app_version","4.4.0"
"os_version","android-21"
"stop_time","2017-04-26T10:28:45.195935Z"
"random_id","7490198662480218964"
"comment","T100"
"username","dejan"
"locator_param_LocationWriterPath","/data/data/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
