#"key", "value"
"locator_version",""
"start_time","2017-04-26T10:26:36.144812Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:samsung-zeroflte-SM-G920F"
"app_version","4.4.0"
"os_version","android-24"
"stop_time","2017-04-26T10:33:44.863122Z"
"random_id","6780959252739638093"
"comment","t27"
"username","anna"
"locator_param_LocationWriterPath","/data/user/0/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
