#"key", "value"
"locator_version",""
"start_time","2017-04-26T13:18:47.713610Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:Sony-E5823-E5823"
"app_version","4.4.0"
"os_version","android-24"
"stop_time","2017-04-26T13:24:13.548361Z"
"random_id","7038740860298601420"
"comment","T37"
"username","Thomas "
"locator_param_LocationWriterPath","/data/user/0/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
