#"key", "value"
"locator_version",""
"start_time","2017-04-26T13:15:06.228889Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:LGE-hammerhead-Nexus 5"
"app_version","4.4.0"
"os_version","android-19"
"stop_time","2017-04-26T13:20:13.190012Z"
"random_id","8045405465113934768"
"comment","T45"
"username","Marko"
"locator_param_LocationWriterPath","/data/data/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
