#"key", "value"
"locator_version",""
"start_time","2017-04-26T10:12:46.161491Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:Sony-D5803-D5803"
"app_version","4.4.0"
"os_version","android-23"
"stop_time","2017-04-26T10:21:07.462005Z"
"random_id","8797851556343760083"
"comment","T29"
"username","Caroline"
"locator_param_LocationWriterPath","/data/user/0/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
