#"key", "value"
"locator_version",""
"start_time","2017-04-26T10:03:57.624525Z"
"api_key","bd244f88-4939-4ce8-b43f-e32586698fb4"
"building_id","990390495"
"device_name","android:Sony-D5803-D5803"
"app_version","4.4.0"
"os_version","android-23"
"stop_time","2017-04-26T10:10:43.116818Z"
"random_id","7375986915470699152"
"comment","T28"
"username","Caroline"
"locator_param_LocationWriterPath","/data/user/0/com.customlbs.android.mmt/files/locations"
"locator_param_RecordingServerBaseUrl","https://api.indoo.rs/recordings-api/"
"locator_param_UseKalmanFilter","true"
"locator_param_UseStabilizationFilter","false"
"locator_param_forced_building_id","990390495"
